,zillow_id,address,zipcode,sqft,lot,bed,bath,home_type,year_built,last_sold_date,last_sold_price
804,25064254.0,"7905 BRISTOL RD, DUBLIN, CA",94568.0,1440.0,6600.0,3.0,2.0,SingleFamily,1962.0,04/08/2005,650000.0
805,25064253.0,"7893 BRISTOL RD, DUBLIN, CA",94568.0,1424.0,6650.0,3.0,2.0,SingleFamily,1964.0,,
806,25064256.0,"7929 BRISTOL RD, DUBLIN, CA",94568.0,1875.0,6650.0,4.0,2.0,SingleFamily,1962.0,,
807,25064255.0,"7917 BRISTOL RD, DUBLIN, CA",94568.0,1338.0,6999.0,4.0,2.0,SingleFamily,1962.0,06/12/1997,220000.0
808,25064243.0,"7876 CRANFORD LN, DUBLIN, CA",94568.0,1396.0,6999.0,3.0,2.0,SingleFamily,1962.0,07/08/2005,610000.0
809,25064244.0,"7864 CRANFORD LN, DUBLIN, CA",94568.0,1300.0,6650.0,3.0,2.0,SingleFamily,1969.0,,
810,25064241.0,"7900 CRANFORD LN, DUBLIN, CA",94568.0,1475.0,6650.0,4.0,2.0,SingleFamily,1962.0,11/15/1994,195000.0
811,25064242.0,"7888 CRANFORD LN, DUBLIN, CA",94568.0,1116.0,6600.0,3.0,2.0,SingleFamily,1962.0,,
812,25063881.0,"7398 LARKDALE AV, DUBLIN, CA",94568.0,1424.0,6999.0,3.0,2.0,SingleFamily,1962.0,06/18/2013,609000.0
813,25063880.0,"7386 LARKDALE AV, DUBLIN, CA",94568.0,1338.0,6999.0,4.0,2.0,SingleFamily,1962.0,11/25/2009,475000.0
814,25063870.0,"7965 TAMARACK DR, DUBLIN, CA",94568.0,1516.0,6534.0,3.0,2.0,SingleFamily,1961.0,09/24/2012,450000.0
815,25063871.0,"7949 TAMARACK DR, DUBLIN, CA",94568.0,1424.0,6999.0,3.0,2.0,SingleFamily,1961.0,,
816,25063872.0,"7933 TAMARACK DR, DUBLIN, CA",94568.0,1745.0,6999.0,4.0,2.0,SingleFamily,1961.0,,
817,25063873.0,"7917 TAMARACK DR, DUBLIN, CA",94568.0,1404.0,6534.0,3.0,2.0,SingleFamily,1961.0,11/30/2012,420000.0
818,25063874.0,"7901 TAMARACK DR, DUBLIN, CA",94568.0,1748.0,6999.0,3.0,2.0,SingleFamily,1961.0,09/30/2005,645000.0
819,25063875.0,"7889 TAMARACK DR, DUBLIN, CA",94568.0,1338.0,6999.0,4.0,2.0,SingleFamily,1961.0,09/21/2011,447000.0
